,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_epochs,device,trainset
0,0,1,1.0146275540192922,0.6085166666666667,6.667271375656128,9.139110088348389,0.01,1000,20,cuda,not_normal
1,0,2,0.5344398046533266,0.7939166666666667,6.549099922180176,15.81788444519043,0.01,1000,20,cuda,not_normal
2,0,3,0.4431278576453527,0.8352166666666667,6.574743270874023,22.50632381439209,0.01,1000,20,cuda,not_normal
3,0,4,0.3840258131424586,0.8587833333333333,6.594977140426636,29.228475332260132,0.01,1000,20,cuda,not_normal
4,0,5,0.3545080780982971,0.8703833333333333,6.611743450164795,35.95189118385315,0.01,1000,20,cuda,not_normal
5,0,6,0.3306944335500399,0.87895,6.590180158615112,42.65974688529968,0.01,1000,20,cuda,not_normal
6,0,7,0.30978795091311134,0.8861833333333333,6.4530861377716064,49.24923849105835,0.01,1000,20,cuda,not_normal
7,0,8,0.29551636005441345,0.89155,6.243419408798218,55.61280393600464,0.01,1000,20,cuda,not_normal
8,0,9,0.28529965579509736,0.8953166666666666,6.236782073974609,61.95726442337036,0.01,1000,20,cuda,not_normal
9,0,10,0.2785654241840045,0.8973333333333333,6.493745565414429,68.6026041507721,0.01,1000,20,cuda,not_normal
10,0,11,0.2802994795143604,0.8955166666666666,6.504929542541504,75.2132613658905,0.01,1000,20,cuda,not_normal
11,0,12,0.2707655136783918,0.9000666666666667,6.460750102996826,81.79072713851929,0.01,1000,20,cuda,not_normal
12,0,13,0.2614513879021009,0.9031333333333333,6.39252781867981,88.30892157554626,0.01,1000,20,cuda,not_normal
13,0,14,0.25595770180225375,0.9054,6.361535549163818,94.7951238155365,0.01,1000,20,cuda,not_normal
14,0,15,0.2511431063214938,0.9057333333333333,6.612802028656006,101.52615427970886,0.01,1000,20,cuda,not_normal
15,0,16,0.24307003046075504,0.9088,6.5929811000823975,108.22780513763428,0.01,1000,20,cuda,not_normal
16,0,17,0.2394328514734904,0.9096666666666666,6.319396018981934,114.6549916267395,0.01,1000,20,cuda,not_normal
17,0,18,0.23563865050673485,0.9123166666666667,6.351315021514893,121.13396072387695,0.01,1000,20,cuda,not_normal
18,0,19,0.22804908975958824,0.9158166666666666,6.317385673522949,127.5819981098175,0.01,1000,20,cuda,not_normal
19,0,20,0.21939005553722382,0.91825,6.407124996185303,134.09845304489136,0.01,1000,20,cuda,not_normal
20,0,1,0.8935480773448944,0.6656833333333333,8.877327919006348,9.724679470062256,0.01,1000,20,cuda,normal
21,0,2,0.4785033956170082,0.8201166666666667,9.017636060714722,18.888923168182373,0.01,1000,20,cuda,normal
22,0,3,0.40514807452758156,0.85035,8.854305982589722,27.86590075492859,0.01,1000,20,cuda,normal
23,0,4,0.36050693889458973,0.8665666666666667,8.83162236213684,36.8201949596405,0.01,1000,20,cuda,normal
24,0,5,0.3357972572247187,0.8754833333333333,8.652478218078613,45.59432816505432,0.01,1000,20,cuda,normal
25,0,6,0.324737245341142,0.8798166666666667,8.815417051315308,54.53138852119446,0.01,1000,20,cuda,normal
26,0,7,0.313076355556647,0.8838333333333334,8.887043237686157,63.53611087799072,0.01,1000,20,cuda,normal
27,0,8,0.2929538016517957,0.8921166666666667,9.008056402206421,72.67590856552124,0.01,1000,20,cuda,normal
28,0,9,0.2821002808709939,0.8955833333333333,8.865960836410522,81.66653537750244,0.01,1000,20,cuda,normal
29,0,10,0.2705807646115621,0.8984333333333333,8.973392963409424,90.77057814598083,0.01,1000,20,cuda,normal
30,0,11,0.2650162602464358,0.9009,9.221328258514404,100.1514790058136,0.01,1000,20,cuda,normal
31,0,12,0.2629464822510878,0.9015666666666666,9.073698282241821,109.36181139945984,0.01,1000,20,cuda,normal
32,0,13,0.25951412642995514,0.90285,8.813709735870361,118.30317878723145,0.01,1000,20,cuda,normal
33,0,14,0.2523305724064509,0.90495,8.727380514144897,127.1511960029602,0.01,1000,20,cuda,normal
34,0,15,0.24521222040057183,0.9070333333333334,8.806644678115845,136.09650111198425,0.01,1000,20,cuda,normal
35,0,16,0.24559021989504495,0.9073,9.061789274215698,145.28093338012695,0.01,1000,20,cuda,normal
36,0,17,0.2415074499944846,0.9095,9.23258113861084,154.67707657814026,0.01,1000,20,cuda,normal
37,0,18,0.24271555617451668,0.9087833333333334,9.267571449279785,164.07330298423767,0.01,1000,20,cuda,normal
38,0,19,0.23854048599799474,0.91065,9.035345792770386,173.2482476234436,0.01,1000,20,cuda,normal
39,0,20,0.22958967760205268,0.9133666666666667,8.90795087814331,182.28238558769226,0.01,1000,20,cuda,normal
