,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_epochs
0,0,1,0.6245831173369661,0.7679666666666667,23.358638763427734,24.96467161178589,0.01,10,5
1,0,2,0.534347980503769,0.8071,23.1056125164032,48.195948123931885,0.01,10,5
2,0,3,0.5250741297268251,0.8115833333333333,23.061489820480347,71.36412143707275,0.01,10,5
3,0,4,0.5324736718335965,0.8146,22.673731803894043,94.14055967330933,0.01,10,5
4,0,5,0.5224690966949177,0.8168166666666666,22.67328715324402,116.91355347633362,0.01,10,5
5,0,1,0.5945968062990578,0.7802166666666667,22.885826587677002,23.00852918624878,0.01,10,10
6,0,2,0.5209091422464068,0.8164666666666667,22.585153818130493,45.70037078857422,0.01,10,10
7,0,3,0.493258142109679,0.8274,22.62153959274292,68.43460965156555,0.01,10,10
8,0,4,0.506877426590654,0.8259833333333333,22.56441068649292,91.10473847389221,0.01,10,10
9,0,5,0.4999489669194348,0.82635,22.581326007843018,113.7972457408905,0.01,10,10
10,0,6,0.5082713027215408,0.8239,22.529382705688477,136.43533992767334,0.01,10,10
11,0,7,0.5456154958904178,0.81905,22.556544542312622,159.0945749282837,0.01,10,10
12,0,8,0.5101371332303583,0.82615,22.56425452232361,181.76055645942688,0.01,10,10
13,0,9,0.49575338404027086,0.83335,22.484527111053467,204.34777641296387,0.01,10,10
14,0,10,0.5128688588913453,0.8279166666666666,22.3852219581604,226.84968543052673,0.01,10,10
15,0,1,0.6508957091967265,0.7473666666666666,8.126030206680298,8.291617631912231,0.01,100,5
16,0,2,0.41992918531099954,0.8443333333333334,8.021846532821655,16.434102773666382,0.01,100,5
17,0,3,0.3763546828428904,0.8604166666666667,8.023887157440186,24.57268238067627,0.01,100,5
18,0,4,0.357291078393658,0.8685666666666667,7.98412013053894,32.65849256515503,0.01,100,5
19,0,5,0.3452039446930091,0.873,7.959082365036011,40.737696170806885,0.01,100,5
20,0,1,0.5677936888734499,0.7832,8.113871097564697,8.283575773239136,0.01,100,10
21,0,2,0.3996465564519167,0.8509333333333333,7.969831466674805,16.36710262298584,0.01,100,10
22,0,3,0.36542189101378125,0.86445,8.016255617141724,24.50599193572998,0.01,100,10
23,0,4,0.3407685323804617,0.8729,7.978735685348511,32.60936951637268,0.01,100,10
24,0,5,0.332835127611955,0.8762666666666666,7.964256286621094,40.69227409362793,0.01,100,10
25,0,6,0.327821103533109,0.8778166666666667,8.272125959396362,49.080124616622925,0.01,100,10
26,0,7,0.3170134864995877,0.8838,9.1941397190094,58.406909704208374,0.01,100,10
27,0,8,0.3093619584292173,0.8843166666666666,8.064597845077515,66.59215950965881,0.01,100,10
28,0,9,0.3105656642715136,0.88325,8.053502321243286,74.77428007125854,0.01,100,10
29,0,10,0.30474350122114024,0.8864,8.015187740325928,82.90611696243286,0.01,100,10
30,0,1,0.9289172232151032,0.65135,6.613698959350586,7.302258491516113,0.01,1000,5
31,0,2,0.49856360256671906,0.8159833333333333,6.559645891189575,13.98612356185913,0.01,1000,5
32,0,3,0.41221849123636883,0.8496833333333333,6.627883672714233,20.741634607315063,0.01,1000,5
33,0,4,0.360386835038662,0.8662,6.950293302536011,27.83750891685486,0.01,1000,5
34,0,5,0.3372090439001719,0.8747833333333334,6.8075292110443115,34.76372146606445,0.01,1000,5
35,0,1,1.0004669944445292,0.6226666666666667,6.7909557819366455,7.589931488037109,0.01,1000,10
36,0,2,0.5494885737697284,0.7894,6.6488659381866455,14.357441186904907,0.01,1000,10
37,0,3,0.4508359635869662,0.8365833333333333,6.720961809158325,21.207019090652466,0.01,1000,10
38,0,4,0.40070301443338396,0.8557333333333333,6.8361029624938965,28.180723190307617,0.01,1000,10
39,0,5,0.36375999401013054,0.86795,6.921798944473267,35.23716068267822,0.01,1000,10
40,0,6,0.33977397630612055,0.8765833333333334,7.541444778442383,42.90630006790161,0.01,1000,10
41,0,7,0.32740415384372074,0.88,7.210008144378662,50.29283547401428,0.01,1000,10
42,0,8,0.3124516516923904,0.8838666666666667,6.997364521026611,57.43680763244629,0.01,1000,10
43,0,9,0.3016064278781414,0.88745,6.698851585388184,64.28625631332397,0.01,1000,10
44,0,10,0.28946131964524585,0.892,6.704558849334717,71.12545466423035,0.01,1000,10
45,0,1,0.5911551449814191,0.7750333333333334,24.83514952659607,24.96159291267395,0.001,10,5
46,0,2,0.3903742324207366,0.8563,25.832442045211792,50.94263696670532,0.001,10,5
47,0,3,0.3388269632506805,0.8742333333333333,24.20967173576355,75.28595042228699,0.001,10,5
48,0,4,0.3097285180830222,0.88445,24.30256986618042,99.7261528968811,0.001,10,5
49,0,5,0.2893794448920914,0.8925333333333333,24.26136326789856,124.1057014465332,0.001,10,5
50,0,1,0.5392539484066268,0.7972333333333333,24.572222471237183,24.682976245880127,0.001,10,10
51,0,2,0.35422215604401813,0.8685166666666667,24.872638702392578,49.67529368400574,0.001,10,10
52,0,3,0.316164634640542,0.88115,24.842886924743652,74.65581274032593,0.001,10,10
53,0,4,0.29214115701651705,0.8899166666666667,25.92821478843689,100.70970463752747,0.001,10,10
54,0,5,0.2742376468831887,0.8967166666666667,24.755459785461426,125.58979892730713,0.001,10,10
55,0,6,0.26024198004489396,0.9026333333333333,24.201230764389038,149.93911862373352,0.001,10,10
56,0,7,0.24770024307237812,0.9061833333333333,24.614732027053833,174.68549799919128,0.001,10,10
57,0,8,0.237280977971294,0.9107333333333333,24.93220591545105,199.7623164653778,0.001,10,10
58,0,9,0.22794662560725312,0.9135166666666666,24.021413326263428,223.9213604927063,0.001,10,10
59,0,10,0.21997474247252588,0.9166,24.971081495285034,249.04902267456055,0.001,10,10
60,0,1,0.7943889644245307,0.6991666666666667,8.619717597961426,8.787814855575562,0.001,100,5
61,0,2,0.5140038432180881,0.8077,8.474609613418579,17.402506828308105,0.001,100,5
62,0,3,0.44587094540397326,0.8385166666666667,8.56043553352356,26.077635049819946,0.001,100,5
63,0,4,0.4024618208408356,0.8546833333333334,8.422362327575684,34.628653049468994,0.001,100,5
64,0,5,0.37294519287844496,0.8643666666666666,8.553195714950562,43.308509349823,0.001,100,5
65,0,1,0.7730373063186804,0.7075333333333333,8.517225742340088,8.682886838912964,0.001,100,10
66,0,2,0.5154182094832261,0.8067666666666666,8.385608673095703,17.190169095993042,0.001,100,10
67,0,3,0.4325827114284039,0.8436666666666667,8.63305115699768,25.91499352455139,0.001,100,10
68,0,4,0.3796268504112959,0.86265,8.382168054580688,34.43778467178345,0.001,100,10
69,0,5,0.3471847590307395,0.8741333333333333,8.374073266983032,42.929542541503906,0.001,100,10
70,0,6,0.32500184391935666,0.8808,8.498043060302734,51.56023025512695,0.001,100,10
71,0,7,0.3083041564375162,0.88655,8.606878519058228,60.299766540527344,0.001,100,10
72,0,8,0.29478369658192,0.8915666666666666,8.334094762802124,68.75855207443237,0.001,100,10
73,0,9,0.28352732459704083,0.8956833333333334,8.39199185371399,77.27022433280945,0.001,100,10
74,0,10,0.27364419187108674,0.8990333333333334,8.4358811378479,85.81683588027954,0.001,100,10
75,0,1,1.5086193253596625,0.4794833333333333,6.662691354751587,7.380279064178467,0.001,1000,5
76,0,2,0.7596872528394063,0.7113666666666667,6.725139379501343,14.227089881896973,0.001,1000,5
77,0,3,0.6551581462224324,0.7517833333333334,6.740849733352661,21.074615240097046,0.001,1000,5
78,0,4,0.5981078267097473,0.7767666666666667,6.678026914596558,27.86533808708191,0.001,1000,5
