,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_epochs,device
0,0,1,1.0322345276673635,0.6090666666666666,6.322511434555054,8.574733257293701,0.01,1000,5,cuda
1,0,2,0.5492456088463465,0.7854,6.097480058670044,14.797369003295898,0.01,1000,5,cuda
2,0,3,0.4455729812383652,0.8354666666666667,6.160082817077637,21.050163984298706,0.01,1000,5,cuda
3,0,4,0.38836147685845696,0.8576166666666667,6.20374608039856,27.36656928062439,0.01,1000,5,cuda
4,0,5,0.3610626225670179,0.86715,6.269486904144287,33.75274300575256,0.01,1000,5,cuda
5,0,1,1.059500703215599,0.5956833333333333,11.337588548660278,12.207559823989868,0.01,1000,5,cpu
6,0,2,0.5693558404843012,0.77715,11.809138298034668,24.112442016601562,0.01,1000,5,cpu
7,0,3,0.48069898088773094,0.8221666666666667,11.555025815963745,35.77526235580444,0.01,1000,5,cpu
8,0,4,0.43390644490718844,0.8409333333333333,11.488760709762573,47.362000942230225,0.01,1000,5,cpu
9,0,5,0.3915514628092448,0.8571166666666666,11.499494791030884,58.955244064331055,0.01,1000,5,cpu
10,0,1,2.1389524340629578,0.23696666666666666,6.617393732070923,12.498962879180908,0.01,10000,5,cuda
11,0,2,1.3892601529757183,0.45608333333333334,6.349824905395508,18.966471672058105,0.01,10000,5,cuda
12,0,3,1.020825018485387,0.6146,6.452845335006714,25.54600238800049,0.01,10000,5,cuda
13,0,4,0.8605980475743612,0.6738,6.444725275039673,32.117711782455444,0.01,10000,5,cuda
14,0,5,0.7733522454897562,0.7071666666666667,6.170687198638916,38.40225172042847,0.01,10000,5,cuda
15,0,1,2.1108733216921487,0.23021666666666665,10.395495176315308,17.210774183273315,0.01,10000,5,cpu
16,0,2,1.5295387109120686,0.41323333333333334,11.145489931106567,28.451424598693848,0.01,10000,5,cpu
17,0,3,1.1296316385269165,0.5346833333333333,11.393612146377563,39.943745851516724,0.01,10000,5,cpu
18,0,4,0.9211980501810709,0.65965,10.603531837463379,50.67793917655945,0.01,10000,5,cpu
19,0,5,0.8055092891057333,0.69985,10.457189798355103,61.252814531326294,0.01,10000,5,cpu
20,0,1,2.274808486302694,0.16556666666666667,9.848064422607422,18.150026321411133,0.01,20000,5,cuda
21,0,2,2.161078453063965,0.22743333333333332,6.183255672454834,24.462936401367188,0.01,20000,5,cuda
22,0,3,1.678170084953308,0.3424,6.199509620666504,30.788588523864746,0.01,20000,5,cuda
23,0,4,1.247727632522583,0.4829,6.663886070251465,37.57764530181885,0.01,20000,5,cuda
24,0,5,1.269707441329956,0.5038666666666667,6.34064793586731,44.05689239501953,0.01,20000,5,cuda
25,0,1,2.2889567216237388,0.13663333333333333,11.774796485900879,22.760085582733154,0.01,20000,5,cpu
26,0,2,1.990354299545288,0.3138,10.2428297996521,33.099024057388306,0.01,20000,5,cpu
27,0,3,1.4617946942647297,0.45825,10.268870830535889,43.460649728775024,0.01,20000,5,cpu
28,0,4,1.1455847422281902,0.5360833333333334,10.212244033813477,53.76981854438782,0.01,20000,5,cpu
29,0,5,1.0111405650774639,0.58765,10.165727376937866,64.06267929077148,0.01,20000,5,cpu
